number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,price
0.1399046104928458,0.0008006405124099279,0.0,0.6986301369863014,52.0
0.001589825119236884,0.023218574859887906,0.0,0.6,95.0
0.151033386327504,0.004803843074459567,0.0,0.23835616438356164,180.0
0.27662957074721783,0.0,0.0,0.6465753424657534,150.0
0.011128775834658189,0.0008006405124099279,0.0,0.08493150684931507,100.0
0.04769475357710652,0.007205764611689351,0.0,0.38904109589041097,120.0
0.23370429252782196,0.0032025620496397116,0.0,0.38904109589041097,239.0
0.0,0.0008006405124099279,0.0,0.24383561643835616,100.0
0.07154213036565978,0.023218574859887906,0.003067484662576687,0.8958904109589041,195.0
0.028616852146263912,0.0,0.0,0.13424657534246576,74.0
0.07313195548489666,0.0,0.0,0.0,200.0
0.001589825119236884,0.023218574859887906,0.027607361963190184,0.936986301369863,200.0
0.0,0.0,0.0,0.684931506849315,175.0
0.12400635930047696,0.0016012810248198558,0.0,0.1506849315068493,66.0
0.0,0.0,0.0,0.0,80.0
0.0,0.023218574859887906,0.3680981595092025,0.6821917808219178,643.0
0.006359300476947536,0.0,0.0,0.0,89.0
0.09379968203497616,0.0008006405124099279,0.0,0.21095890410958903,140.0
0.007949125596184421,0.0,0.0,0.9643835616438357,300.0
0.003179650238473768,0.0,0.0,0.0,100.0
0.003179650238473768,0.023218574859887906,0.15030674846625766,0.9671232876712329,175.0
0.031796502384737683,0.0008006405124099279,0.003067484662576687,0.8027397260273973,65.0
0.033386327503974564,0.0,0.0,0.0,125.0
0.08585055643879173,0.0032025620496397116,0.0,0.2876712328767123,115.0
0.012718600953895072,0.0032025620496397116,0.0,0.13972602739726028,79.0
0.006359300476947536,0.0008006405124099279,0.0,0.0,195.0
0.003179650238473768,0.0016012810248198558,0.0,0.0,130.0
0.0,0.004803843074459567,0.0,0.0,199.0
0.001589825119236884,0.0032025620496397116,0.0,0.0,150.0
0.0,0.0032025620496397116,0.0,0.0,104.0
0.12082670906200318,0.0016012810248198558,0.003067484662576687,0.24383561643835616,60.0
0.030206677265500796,0.0,0.02147239263803681,0.2219178082191781,209.0
0.001589825119236884,0.023218574859887906,0.2914110429447853,0.9095890410958904,275.0
0.006359300476947536,0.0008006405124099279,0.0,0.0027397260273972603,150.0
0.08744038155802862,0.0008006405124099279,0.0,0.4986301369863014,99.0
0.015898251192368842,0.0,0.049079754601226995,0.4986301369863014,137.0
0.001589825119236884,0.0016012810248198558,0.0,0.0,125.0
0.07790143084260732,0.0016012810248198558,0.0,0.19452054794520549,75.0
0.11128775834658189,0.0,0.0,0.821917808219178,65.0
0.05882352941176471,0.0,0.009202453987730062,0.23013698630136986,60.0
0.055643879173290944,0.0,0.0,0.07671232876712329,95.0
0.2893481717011129,0.0,0.0,0.16986301369863013,85.0
0.09379968203497616,0.023218574859887906,0.0,0.7698630136986302,110.0
0.003179650238473768,0.0008006405124099279,0.0,0.0,120.0
0.2591414944356121,0.0016012810248198558,0.003067484662576687,0.0,52.0
0.006359300476947536,0.0,0.0,0.0,200.0
0.004769475357710652,0.02241793434747798,0.0,0.9808219178082191,189.0
0.0985691573926868,0.0008006405124099279,0.003067484662576687,0.29315068493150687,60.0
0.022257551669316377,0.0016012810248198558,0.0,0.0,100.0
0.004769475357710652,0.0,0.0,0.5150684931506849,225.0
0.01907790143084261,0.0032025620496397116,0.0,0.0,159.0
0.0,0.023218574859887906,0.09815950920245399,0.8410958904109589,164.0
0.003179650238473768,0.023218574859887906,0.042944785276073615,1.0,183.0
0.030206677265500796,0.0032025620496397116,0.0,0.24383561643835616,65.0
0.001589825119236884,0.023218574859887906,0.046012269938650305,0.9013698630136986,79.0
0.001589825119236884,0.0016012810248198558,0.0,0.0,199.0
0.057233704292527825,0.023218574859887906,0.0,0.936986301369863,145.0
